drg_cd,drg_desc,unweighted_ratio,estimated_total_charges,estimated_total_medicare_payments,total_discharges,weighted_ratio,difference,unweighted_rank,weighted_rank,rank_change
542,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC,5.781589485351588,315507680.000591,53494748.000081,3536,5.897918801302013,-0.11632931595042528,338.0,303.0,35.0
091,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,5.878005252082461,874741134.000552,148426236.0003188,9790,5.893440119297193,-0.015434867214731973,322.0,304.0,18.0
689,KIDNEY AND URINARY TRACT INFECTIONS WITH MCC,5.723000696748379,4150637126.9963098,704751242.99993,79740,5.889506642554048,-0.16650594580566924,346.0,305.0,41.0
951,OTHER FACTORS INFLUENCING HEALTH STATUS,5.600257525914595,81317180.0000925,13823524.0000046,3008,5.882521707204722,-0.2822641812901274,369.0,306.0,63.0
023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,6.187693610560696,3322138274.997471,566378318.000192,11805,5.865581660554217,0.3221119500064784,260.0,307.0,-47.0
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC,5.842663991112442,457855521.001018,78074373.000043,2095,5.864350918332265,-0.02168692721982346,327.0,308.0,19.0
252,OTHER VASCULAR PROCEDURES WITH MCC,5.888679065704541,2556137048.001765,435980894.99998,14681,5.862956559144369,0.025722506560172498,320.0,309.0,11.0
335,PERITONEAL ADHESIOLYSIS WITH MCC,5.987515185014812,65329970.999839,11144964.999985,341,5.8618372511647125,0.12567793385009907,300.0,310.0,-10.0
682,RENAL FAILURE WITH MCC,5.666877913530797,4926156907.002284,840429936.0006809,73354,5.861472439266244,-0.19459452573544667,360.0,311.0,49.0
603,CELLULITIS WITHOUT MCC,5.908646852888404,2049818953.9989734,350096058.9999284,54310,5.855018647894555,0.05362820499384924,316.0,312.0,4.0
